,HRRR Date,HRRR T-Value,HRRR F Value,RTMA Date,RTMA T-Value,RTMA URL,HRRR URL,file_path_rtma,file_path_hrrr,HRRR Plot Name,RTMA Plot Name,Diff Plot Name
11,20220504,12,11,20220504,23,https://noaa-rtma-pds.s3.amazonaws.com/rtma2p5.20220504/rtma2p5.t23z.2dvarges_ndfd.grb2_wexp,https://noaa-hrrr-bdp-pds.s3.amazonaws.com/hrrr.20220504/conus/hrrr.t12z.wrfsfcf11.grib2,datax/RTMA/20220504/rtma2p5.t23z.2dvarges_ndfd.grb2_wexp,datax/HRRR/20220504/hrrr.t12z.wrfsfcf11.grib2,HRRR_20220504_T12Z_F11,RTMA_20220504_T23Z,DIFF_20220504_T23Z_vs_20220504_T12Z_F11
12,20220504,12,12,20220505,0,https://noaa-rtma-pds.s3.amazonaws.com/rtma2p5.20220505/rtma2p5.t00z.2dvarges_ndfd.grb2_wexp,https://noaa-hrrr-bdp-pds.s3.amazonaws.com/hrrr.20220504/conus/hrrr.t12z.wrfsfcf12.grib2,datax/RTMA/20220505/rtma2p5.t00z.2dvarges_ndfd.grb2_wexp,datax/HRRR/20220504/hrrr.t12z.wrfsfcf12.grib2,HRRR_20220504_T12Z_F12,RTMA_20220505_T0Z,DIFF_20220505_T0Z_vs_20220504_T12Z_F12
13,20220504,12,13,20220505,1,https://noaa-rtma-pds.s3.amazonaws.com/rtma2p5.20220505/rtma2p5.t01z.2dvarges_ndfd.grb2_wexp,https://noaa-hrrr-bdp-pds.s3.amazonaws.com/hrrr.20220504/conus/hrrr.t12z.wrfsfcf13.grib2,datax/RTMA/20220505/rtma2p5.t01z.2dvarges_ndfd.grb2_wexp,datax/HRRR/20220504/hrrr.t12z.wrfsfcf13.grib2,HRRR_20220504_T12Z_F13,RTMA_20220505_T1Z,DIFF_20220505_T1Z_vs_20220504_T12Z_F13
14,20220504,12,14,20220505,2,https://noaa-rtma-pds.s3.amazonaws.com/rtma2p5.20220505/rtma2p5.t02z.2dvarges_ndfd.grb2_wexp,https://noaa-hrrr-bdp-pds.s3.amazonaws.com/hrrr.20220504/conus/hrrr.t12z.wrfsfcf14.grib2,datax/RTMA/20220505/rtma2p5.t02z.2dvarges_ndfd.grb2_wexp,datax/HRRR/20220504/hrrr.t12z.wrfsfcf14.grib2,HRRR_20220504_T12Z_F14,RTMA_20220505_T2Z,DIFF_20220505_T2Z_vs_20220504_T12Z_F14
15,20220504,12,15,20220505,3,https://noaa-rtma-pds.s3.amazonaws.com/rtma2p5.20220505/rtma2p5.t03z.2dvarges_ndfd.grb2_wexp,https://noaa-hrrr-bdp-pds.s3.amazonaws.com/hrrr.20220504/conus/hrrr.t12z.wrfsfcf15.grib2,datax/RTMA/20220505/rtma2p5.t03z.2dvarges_ndfd.grb2_wexp,datax/HRRR/20220504/hrrr.t12z.wrfsfcf15.grib2,HRRR_20220504_T12Z_F15,RTMA_20220505_T3Z,DIFF_20220505_T3Z_vs_20220504_T12Z_F15
16,20220504,12,16,20220505,4,https://noaa-rtma-pds.s3.amazonaws.com/rtma2p5.20220505/rtma2p5.t04z.2dvarges_ndfd.grb2_wexp,https://noaa-hrrr-bdp-pds.s3.amazonaws.com/hrrr.20220504/conus/hrrr.t12z.wrfsfcf16.grib2,datax/RTMA/20220505/rtma2p5.t04z.2dvarges_ndfd.grb2_wexp,datax/HRRR/20220504/hrrr.t12z.wrfsfcf16.grib2,HRRR_20220504_T12Z_F16,RTMA_20220505_T4Z,DIFF_20220505_T4Z_vs_20220504_T12Z_F16
17,20220504,12,17,20220505,5,https://noaa-rtma-pds.s3.amazonaws.com/rtma2p5.20220505/rtma2p5.t05z.2dvarges_ndfd.grb2_wexp,https://noaa-hrrr-bdp-pds.s3.amazonaws.com/hrrr.20220504/conus/hrrr.t12z.wrfsfcf17.grib2,datax/RTMA/20220505/rtma2p5.t05z.2dvarges_ndfd.grb2_wexp,datax/HRRR/20220504/hrrr.t12z.wrfsfcf17.grib2,HRRR_20220504_T12Z_F17,RTMA_20220505_T5Z,DIFF_20220505_T5Z_vs_20220504_T12Z_F17
18,20220504,12,18,20220505,6,https://noaa-rtma-pds.s3.amazonaws.com/rtma2p5.20220505/rtma2p5.t06z.2dvarges_ndfd.grb2_wexp,https://noaa-hrrr-bdp-pds.s3.amazonaws.com/hrrr.20220504/conus/hrrr.t12z.wrfsfcf18.grib2,datax/RTMA/20220505/rtma2p5.t06z.2dvarges_ndfd.grb2_wexp,datax/HRRR/20220504/hrrr.t12z.wrfsfcf18.grib2,HRRR_20220504_T12Z_F18,RTMA_20220505_T6Z,DIFF_20220505_T6Z_vs_20220504_T12Z_F18
19,20220504,12,19,20220505,7,https://noaa-rtma-pds.s3.amazonaws.com/rtma2p5.20220505/rtma2p5.t07z.2dvarges_ndfd.grb2_wexp,https://noaa-hrrr-bdp-pds.s3.amazonaws.com/hrrr.20220504/conus/hrrr.t12z.wrfsfcf19.grib2,datax/RTMA/20220505/rtma2p5.t07z.2dvarges_ndfd.grb2_wexp,datax/HRRR/20220504/hrrr.t12z.wrfsfcf19.grib2,HRRR_20220504_T12Z_F19,RTMA_20220505_T7Z,DIFF_20220505_T7Z_vs_20220504_T12Z_F19
20,20220504,12,20,20220505,8,https://noaa-rtma-pds.s3.amazonaws.com/rtma2p5.20220505/rtma2p5.t08z.2dvarges_ndfd.grb2_wexp,https://noaa-hrrr-bdp-pds.s3.amazonaws.com/hrrr.20220504/conus/hrrr.t12z.wrfsfcf20.grib2,datax/RTMA/20220505/rtma2p5.t08z.2dvarges_ndfd.grb2_wexp,datax/HRRR/20220504/hrrr.t12z.wrfsfcf20.grib2,HRRR_20220504_T12Z_F20,RTMA_20220505_T8Z,DIFF_20220505_T8Z_vs_20220504_T12Z_F20
